Gene,Importance
ENSG00000146122,0.000392126
ENSG00000164976,0.000391932
ENSG00000152582,0.000391511
ENSG00000187824,0.000391472
ENSG00000242386,0.000391346
ENSG00000122012,0.000390593
ENSG00000136828,0.000389681
ENSG00000169126,0.000388281
ENSG00000233841,0.000388246
ENSG00000160326,0.000387305
ENSG00000147044,0.000383029
ENSG00000233622,0.000382408
ENSG00000139597,0.000381765
ENSG00000170430,0.000381061
ENSG00000105419,0.000380549
ENSG00000129925,0.000377516
ENSG00000171346,0.000377455
ENSG00000088827,0.000376092
ENSG00000168970,0.000375707
ENSG00000115648,0.000375628
ENSG00000100678,0.000372076
ENSG00000213626,0.00037207
ENSG00000169583,0.000370753
ENSG00000162399,0.000369103
ENSG00000112679,0.000366353
ENSG00000172819,0.000365985
ENSG00000177692,0.000365513
ENSG00000154025,0.00036516
ENSG00000087152,0.000363218
ENSG00000005339,0.000363116
ENSG00000115216,0.000361064
ENSG00000112053,0.000360192
ENSG00000130227,0.000357232
ENSG00000143919,0.00035634
ENSG00000138162,0.000356293
ENSG00000183891,0.000355311
ENSG00000226264,0.000354931
ENSG00000026950,0.000354534
ENSG00000142208,0.00035377
ENSG00000153446,0.000351791
ENSG00000125046,0.000350412
ENSG00000196329,0.000349752
ENSG00000198959,0.000347054
ENSG00000235443,0.000346536
ENSG00000133561,0.000346519
ENSG00000273274,0.000346259
ENSG00000182168,0.000344338
ENSG00000215018,0.000343372
ENSG00000138675,0.000343216
ENSG00000162852,0.000343106
ENSG00000047662,0.000342318
ENSG00000198483,0.000340997
ENSG00000174844,0.000336352
ENSG00000140287,0.000336131
ENSG00000197056,0.000335204
ENSG00000143552,0.000335181
ENSG00000181045,0.000334852
ENSG00000156475,0.000334778
ENSG00000214491,0.000332742
ENSG00000128536,0.00033041
ENSG00000162415,0.00032915
ENSG00000139144,0.000328079
ENSG00000162526,0.0003274
ENSG00000228299,0.00032635
ENSG00000145832,0.00032628
ENSG00000151917,0.000325537
ENSG00000221926,0.000324715
ENSG00000203710,0.000324651
ENSG00000042317,0.000324591
ENSG00000071242,0.000322046
ENSG00000172421,0.000319939
ENSG00000243449,0.000319001
ENSG00000181523,0.000318061
ENSG00000188039,0.000316614
ENSG00000170927,0.00031623
ENSG00000197632,0.000315218
ENSG00000187866,0.00031464
ENSG00000053702,0.000313877
ENSG00000157578,0.000311344
ENSG00000119283,0.000308711
ENSG00000163359,0.000305505
ENSG00000225190,0.00030507
ENSG00000133958,0.000303375
ENSG00000082805,0.000302936
ENSG00000121446,0.000301618
ENSG00000151694,0.000300499
ENSG00000230453,0.000300451
ENSG00000132510,0.000298538
ENSG00000169122,0.000298267
ENSG00000165323,0.000297918
ENSG00000105738,0.000295818
ENSG00000169347,0.000294649
ENSG00000204257,0.000294138
ENSG00000141519,0.000293869
ENSG00000186960,0.000293674
ENSG00000227825,0.000292304
ENSG00000170788,0.000291928
ENSG00000137460,0.000289921
ENSG00000233436,0.000288681
